Title,Year,imdbID,Type,Poster
Inception (2010),2010,tt22128980,movie,N/A
I Forgot the Notations which were Excellent for the Inception of a Poem...,2021,tt23841402,movie,https://m.media-amazon.com/images/M/MV5BN2U4NjQxNWMtMGJkMy00Nzg3LWEyZTktM2ZiYjhjMDAzY2U5XkEyXkFqcGdeQXVyODExNTM0MDA@._V1_SX300.jpg
Inception of Silence,2023,tt27951312,movie,https://m.media-amazon.com/images/M/MV5BMWI5NTE0MTUtZjExNC00OGJiLWI1OTUtNDFhZTljMjc0MDRlXkEyXkFqcGdeQXVyMTQ3MTc2OTk3._V1_SX300.jpg
Before the Prequel: Dawning Inception,2020,tt28234665,movie,https://m.media-amazon.com/images/M/MV5BZTcyYTc3YzUtYTEzZi00NGM5LWIzNzMtN2QyOWEzODMxM2IzXkEyXkFqcGc@._V1_SX300.jpg
Inception of 001,2018,tt10218638,movie,https://m.media-amazon.com/images/M/MV5BODA1YzkyY2UtOTVkOS00M2VhLWFkYzQtNGRhMDZhMjc5NjJlXkEyXkFqcGdeQXVyNTc3MDE4NjE@._V1_SX300.jpg
The Inception of Attack Ads,2011,tt11116334,movie,N/A
Announcement Inception,2023,tt31463233,movie,N/A
Evo Inception,2023,tt32827951,series,N/A
Inception,2011,tt33464366,movie,N/A
Omerta: From Inception to Screen,2026,tt37092742,movie,https://m.media-amazon.com/images/M/MV5BOGM1NWU1NzUtNmI3Mi00ZDFlLWE2MjgtYzcyMjIwZmZiOWZmXkEyXkFqcGc@._V1_SX300.jpg
Inception of a lost Art,2013,tt3563778,movie,https://m.media-amazon.com/images/M/MV5BYjYzZjE2ZDktMWU3MS00OGY0LTg4YTEtODZiYzcwY2U0YWUzXkEyXkFqcGc@._V1_SX300.jpg
Inception (Sweded),2011,tt2251371,movie,N/A
Fraud in the Inception: Who killed Robert Hamlin and Dorothy Grega,2013,tt2278951,movie,https://m.media-amazon.com/images/M/MV5BNTBkNjliZjktOTI0ZS00ZWYzLWIwOTAtN2U0YjdiNmEwNjcyXkEyXkFqcGdeQXVyMTM2Mjg2MTM@._V1_SX300.jpg
Inception of Chaos,2012,tt2762020,movie,N/A
Tu Tengo: Victoria's Inception,2009,tt7329588,movie,https://m.media-amazon.com/images/M/MV5BMzFmZmVkNWItMTU0OC00Y2QwLTlmYmItMDM5MTM3MmI2MWZjXkEyXkFqcGdeQXVyMTEyNjY4NTA@._V1_SX300.jpg
Cirque Inception,2017,tt7500940,movie,https://m.media-amazon.com/images/M/MV5BYWM5MDU1NDMtY2E5Yy00MmI3LWE1OTgtYjBiZGRkNjlkYTg4XkEyXkFqcGdeQXVyNjgyMzc3OTk@._V1_SX300.jpg
Inception Hanukkah,2011,tt7821698,movie,N/A
The Inception,2016,tt5526902,movie,https://m.media-amazon.com/images/M/MV5BZDlkNzJmNjItZmQyYy00YzZkLTg4MmEtNGNkYTllMGQ5YzFhXkEyXkFqcGdeQXVyNjU1NjEzMjA@._V1_SX300.jpg
Starlight Inception,2014,tt5735302,game,https://m.media-amazon.com/images/M/MV5BYzM2MzdmNjItNTE1My00MmE4LTkyMWEtNDYzY2FkOWIzYjg4XkEyXkFqcGdeQXVyMTkyODIwMzE@._V1_SX300.jpg
Synesthesia: The Red (Part One: The Inception),2017,tt6671900,movie,https://m.media-amazon.com/images/M/MV5BNjVmOWNmZGItNTliOC00NzVjLThiZTUtYmMyOWVmZDgyNWViXkEyXkFqcGdeQXVyNjQ5NDA0NTY@._V1_SX300.jpg
